filename,origin,combined_rank,new_index,new_batch_500
DB15-cds_N128_E139_opt_repeat,original,5342,,
DB0-m2_o18_o29_f0_pcu.sym.16_repeat,original,1198,,
DB5-hypotheticalMOF_5048629_0_0_1_19_3_14_repeat,original,5668,,
DB1-Cu2O8N2-irmof10_A-irmof14_A_No310_repeat,original,4782,,
DB1-Cu2O8N2-irmof20_A-irmof8_A_No121_repeat,original,4820,,
DB0-m3_o82_o21_f0_fsc.sym.19_repeat,original,3937,,
DB5-hypotheticalMOF_5014640_2_1_0_3_10_0_repeat,original,5562,,
DB0-m2_o13_o27_f0_pcu.sym.50_repeat,original,1012,,
DB5-hypotheticalMOF_5076663_0_0_2_27_1_4_repeat,original,5761,,
DB0-m3_o1490_o156_f0_fsc.sym.39_repeat,original,2438,,
DB0-m29_o99_o53_f0_pts.sym.85_repeat,original,820,,
DB0-m29_o88_o1470_f0_pts.sym.134_repeat,original,373,,
DB12-NADZID_clean_repeat,original,5180,,
DB12-NUDMUW_freeONLY_repeat,original,5184,,
DB5-hypotheticalMOF_5070139_0_0_2_3_3_5_repeat,original,5732,,
DB0-m3_o9_o23_f0_nbo.sym.35_repeat,original,4110,,
DB0-m2_o3_o14_f0_nbo.sym.112_repeat,original,1552,,
DB0-m3_o11_o23_f0_pcu.sym.20_repeat,original,2080,,
DB0-m2_o25_o26_f0_pcu.sym.78_repeat,original,1414,,
DB0-m3_o105_o158_f0_fsc.sym.8_repeat,original,1944,,
DB0-m1_o14_smb_repeat,original,53,,
DB0-m3_o11_o29_f0_pcu.sym.70_repeat,original,2178,,
DB1-Cu2O8-ADC_A-DPAC_A_No1311_repeat,original,4459,,
DB0-m3_o29_o105_f0_fsc_repeat,original,3317,,
DB0-m3_o2_o16_f0_pcu.sym.7_repeat,original,3343,,
DB0-m29_o88_o49_f0_pts.sym.18_repeat,original,410,,
DB0-m9_o19_o23_f0_sra.sym.105_repeat,original,4224,,
DB0-m29_o96_o150_f0_pts.sym.124_repeat,original,674,,
DB0-m29_o97_o148_f0_pts.sym.70_repeat,original,719,,
DB0-m3_o14_o29_f0_pcu.sym.48_repeat,original,2519,,
DB0-m9_o2_o11_f0_sra.sym.28_repeat,original,4277,,
DB0-m3_o520_o14_f0_fsc.sym.76_repeat,original,3721,,
DB15-sxb_N65_E41_opt_repeat,original,5387,,
DB0-m3_o21_o21_f0_pcu.sym.1_repeat,original,3105,,
DB0-m6_o13_bcu_repeat,original,4142,,
DB6-cuf_10369_repeat,original,5813,,
DB0-m2_o1_o4_f0_pcu.sym.29_repeat,original,1274,,
DB0-m3_o155_o52_f0_fsc.sym.18_repeat,original,2653,,
DB12-WAYMIU_manual_repeat,original,5211,,
DB1-Uio66Zr-irmof6_A-irmof7_A_No16_repeat,original,4846,,
DB7-ddmof_6342_repeat,original,6084,,
DB12-VURYOX_clean_repeat,original,5209,,
DB0-m29_o81_o1490_f0_pts.sym.43_repeat,original,146,,
DB0-m29_o80_o110_f0_pts.sym.18_repeat,original,83,,
DB1-Cu2O8-irmof10_A-irmof7_A_No477_repeat,original,4558,,
DB0-m3_o9_o28_f0_nbo.sym.16_repeat,original,4121,,
DB0-m3_o7_o23_f0_nbo.sym.91_repeat,original,3912,,
DB0-m2_o16_o23_f0_pcu.sym.132_repeat,original,1134,,
DB0-m3_o153_o156_f0_fsc.sym.72_repeat,original,2615,,
DB1-Cu2O8-fum_A-irmof6_A_No7_repeat,original,4532,,
DB0-m3_o44_o158_f0_fsc.sym.8_repeat,original,3536,,
DB0-m3_o11_o29_f0_pcu.sym.9_repeat,original,2194,,
DB0-m3_o25_o45_f0_fsc.sym.21_repeat,original,3288,,
DB1-Zn2O8N2-DPAC_A-irmof8_A_No320_repeat,original,5070,,
DB7-ddmof_21919_repeat,original,6024,,
DB5-hypotheticalMOF_15429_1_0_0_22_9_5_repeat,original,5429,,
DB0-m2_o7_o25_f0_nbo.sym.159_repeat,original,1805,,
DB0-m3_o12_o23_f0_pcu.sym.36_repeat,original,2228,,
DB0-m3_o16_o25_f0_pcu.sym.28_repeat,original,2814,,
DB1-Cu2O8N2-DPAC_A-irmof20_A_No546_repeat,original,4740,,
DB0-m3_o14_o28_f0_pcu.sym.26_repeat,original,2516,,
DB1-Zn2O8N2-irmof6_A-irmof7_A_No168_repeat,original,5110,,
DB0-m3_o8_o24_f0_pcu.sym.25_repeat,original,3989,,
DB5-hypotheticalMOF_390_0_0_0_26_9_10_repeat,original,5515,,
DB0-m29_o97_o110_f0_pts.sym.46_repeat,original,715,,
DB0-m2_o4_o22_f0_nbo.sym.18_repeat,original,1621,,
DB0-m3_o23_o26_f0_pcu.sym.106_repeat,original,3182,,
DB0-m3_o500_o23_f0_fsc.sym.8_repeat,original,3694,,
DB1-Cu2O8-irmof6_A-PEDOT_A_No12_repeat,original,4586,,
DB0-m3_o96_o20_f0_fsc.sym.27_repeat,original,4058,,
DB0-m2_o1_o28_f0_nbo.sym.55_repeat,original,1261,,
DB1-Cu2O8-irmof10_A-irmof7_A_No528_repeat,original,4565,,
DB0-m2_o11_o29_f0_pcu.sym.15_repeat,original,924,,
DB1-Cu2O8N2-irmof8_A-TED_A_No16_repeat,original,4825,,
DB7-ddmof_18178_repeat,original,5997,,
DB0-m3_o52_o159_f0_fsc.sym.1_repeat,original,3741,,
DB0-m29_o90_o93_f0_pts.sym.124_repeat,original,558,,
DB0-m2_o6_o32_dme_repeat,original,1755,,
DB12-ja506357n_si_002_clean_repeat,original,5230,,
DB0-m3_o146_o155_f0_fsc.sym.76_repeat,original,2370,,
DB6-cuf_9600_repeat,original,5966,,
DB0-m3_o500_o23_f0_fsc.sym.24_repeat,original,3693,,
DB5-hypotheticalMOF_5072970_3_0_2_19_18_2_repeat,original,5744,,
DB1-Zn2O8-AZO_A-BDC_A_No440_repeat,original,4882,,
DB1-Zn2O8N2-ADC_A-irmof10_A_No496_repeat,original,5006,,
DB0-m3_o21_o28_f0_pcu.sym.106_repeat,original,3123,,
DB0-m3_o113_o23_f0_fsc.sym.19_repeat,original,1992,,
DB1-Cu2O8-AZO_A-BDC_A_No187_repeat,original,4490,,
DB0-m9_o1_o17_f0_sra.sym.45_repeat,original,4235,,
DB0-m3_o115_o6_f0_fsc.sym.2_repeat,original,2016,,
DB1-Cu2O8N2-ADC_A-irmof14_A_No550_repeat,original,4622,,
DB0-m3_o19_o46_f0_fsc.sym.3_repeat,original,2977,,
DB6-cuf_6684_repeat,original,5918,,
DB0-m2_o1_o25_f0_nbo.sym.138_repeat,original,1254,,
DB0-m2_o1_o2_f0_nbo.sym.2_repeat,original,1265,,
DB0-m2_o22_o27_f0_nbo.sym.126_repeat,original,1341,,
DB5-hypotheticalMOF_5048255_1_0_1_19_18_13_repeat,original,5664,,
DB0-m3_o6_unc_repeat,original,3862,,
DB0-m3_o11_o28_f0_pcu.sym.92_repeat,original,2132,,
DB0-m2_o27_o29_f0_nbo.sym.9_repeat,original,1441,,
DB1-Zn2O8-AZO_A-DPAC_A_No809_repeat,original,4900,,
DB0-m3_o6_o16_f0_pcu.sym.75_repeat,original,3807,,
DB0-m2_o11_o23_f0_pcu.sym.34_repeat,original,895,,
DB0-m2_o9_o20_f0_pcu.sym.17_repeat,original,1915,,
DB0-m2_o16_o16_f0_pcu.sym.15_repeat,original,1114,,
DB0-m3_o23_o28_f0_pcu.sym.104_repeat,original,3189,,
DB1-Zn2O8N2-AZO_A-irmof20_A_No74_repeat,original,5040,,
DB0-m29_o82_o86_f0_pts.sym.15_repeat,original,231,,
DB0-m3_o1490_o159_f0_fsc.sym.33_repeat,original,2445,,
DB1-Zn2O8-AZO_A-BDC_A_No14_repeat,original,4880,,
DB1-Zn2O8-AZO_A-irmof20_A_No412_repeat,original,4910,,
DB0-m3_o12_o28_f0_pcu.sym.9_repeat,original,2258,,
DB0-m29_o96_o530_f0_pts.sym.32_repeat,original,703,,
DB0-m9_o17_o24_f0_sra.sym.82_repeat,original,4203,,
DB0-m3_o13_o20_f0_pcu.sym.2_repeat,original,2324,,
DB13-lvt-Syn019422_repeat,original,5277,,
DB0-m3_o25_o153_f0_fsc.sym.4_repeat,original,3276,,
DB7-ddmof_5222_repeat,original,6069,,
DB0-m2_o11_o21_f0_pcu.sym.44_repeat,original,876,,
DB0-m3_o23_o23_f0_nbo.sym.136_repeat,original,3166,,
DB0-m3_o11_o14_f0_pcu.sym.76_repeat,original,2033,,
DB0-m9_o5_o11_f0_sra.sym.25_repeat,original,4310,,
DB0-m3_o1520_o25_f0_fsc.sym.41_repeat,original,2576,,
DB13-nbo-Syn039732_repeat,original,5334,,
DB5-hypotheticalMOF_23032_0_0_1_13_7_10_repeat,original,5470,,
DB0-m2_o11_o11_f0_pcu.sym.110_repeat,original,846,,
DB5-hypotheticalMOF_5009216_1_0_0_8_9_2_repeat,original,5545,,
DB0-m3_o8_o26_f0_pcu.sym.110_repeat,original,3994,,
DB0-m2_o6_o25_f0_pcu.sym.65_repeat,original,1740,,
DB0-m2_o41_o41_f0_fof.sym.28_repeat,original,1608,,
DB0-m3_o145_o22_f0_fsc.sym.13_repeat,original,2360,,
DB0-m3_o2_o14_f0_pcu.sym.47_repeat,original,3334,,
DB13-nbo-Syn023368_repeat,original,5312,,
DB0-m3_o14_o29_f0_nbo.sym.30_repeat,original,2518,,
DB0-m3_o96_o25_f0_fsc.sym.5_repeat,original,4070,,
DB0-m29_o81_o1470_f0_pts.sym.64_repeat,original,137,,
DB15-sxc_N65_E173_opt_repeat,original,5388,,
DB1-Cu2O8-AZO_A-BDC_A_No490_repeat,original,4496,,
DB0-m9_o14_o22_f0_sra.sym.17_repeat,original,4184,,
DB0-m2_o7_o25_f0_pcu.sym.11_repeat,original,1806,,
DB0-m29_o80_o153_f0_pts.sym.68_repeat,original,102,,
DB1-Zn2O8-irmof10_A-irmof20_A_No356_repeat,original,4946,,
DB0-m3_o7_o24_f0_nbo.sym.37_repeat,original,3917,,
DB0-m3_o18_o19_f0_pcu.sym.84_repeat,original,2927,,
DB0-m3_o25_o1510_f0_fsc.sym.19_repeat,original,3272,,
DB5-hypotheticalMOF_14149_0_0_0_16_7_5_repeat,original,5417,,
DB0-m3_o9_o14_f0_nbo.sym.89_repeat,original,4089,,
DB12-ncomms11831_ncomms11831-s2_clean_repeat,original,5231,,
DB5-hypotheticalMOF_5041268_1_1_1_8_17_6_repeat,original,5640,,
DB0-m29_o96_o470_f0_pts.sym.49_repeat,original,694,,
DB0-m9_o18_o29_f0_sra.sym.27_repeat,original,4223,,
DB0-m3_o151_o15_f0_fsc.sym.11_repeat,original,2560,,
DB0-m3_o14_o26_f0_pcu.sym.29_repeat,original,2507,,
DB5-hypotheticalMOF_11271_0_0_0_6_13_5_repeat,original,5410,,
DB0-m3_o24_o45_f0_fsc.sym.52_repeat,original,3236,,
DB0-m3_o520_o25_f0_fsc.sym.8_repeat,original,3733,,
DB0-m3_o16_o29_f0_pcu.sym.94_repeat,original,2825,,
DB0-m3_o17_o25_f0_pcu.sym.47_repeat,original,2892,,
DB1-Cu2O8-irmof10_A-irmof7_A_No516_repeat,original,4564,,
DB5-hypotheticalMOF_26785_0_0_1_22_2_5_repeat,original,5485,,
DB0-m3_o8_o9_f0_pcu.sym.59_repeat,original,4017,,
DB13-nbo-Syn027452_repeat,original,5317,,
DB13-lvt-Syn038997_repeat,original,5302,,
DB0-m3_o440_o13_f0_fsc.sym.78_repeat,original,3516,,
DB0-m2_o11_o29_f0_pcu.sym.24_repeat,original,927,,
DB1-Cu2O8-ADC_A-DABCO_A_No26_repeat,original,4458,,
DB0-m3_o14_o20_f0_nbo.sym.55_repeat,original,2478,,
DB0-m3_o22_o23_f0_pcu.sym.22_repeat,original,3143,,
DB0-m3_o9_o23_f0_pcu.sym.10_repeat,original,4113,,
DB0-m29_o96_o490_f0_pts.sym.48_repeat,original,698,,
DB0-m29_o90_o55_f0_pts.sym.28_repeat,original,547,,
DB0-m3_o1_o25_f0_nbo.sym.70_repeat,original,3031,,
DB0-m2_o2_o12_f0_pcu.sym.23_repeat,original,1455,,
DB5-hypotheticalMOF_5064596_1_0_2_15_1_6_repeat,original,5709,,
DB0-m29_o83_o100_f0_pts.sym.5_repeat,original,236,,
DB0-m3_o1490_o6_f0_fsc.sym.64_repeat,original,2456,,
DB0-m3_o19_o23_f0_nbo.sym.42_repeat,original,2963,,
DB0-m3_o12_o29_f0_pcu.sym.20_repeat,original,2269,,
DB5-hypotheticalMOF_5063019_1_0_2_18_14_4_repeat,original,5705,,
DB1-Cu2O8N2-irmof14_A-irmof20_A_No244_repeat,original,4804,,
DB0-m2_o13_atn_repeat,original,979,,
DB5-hypotheticalMOF_5004932_2_1_0_18_13_6_repeat,original,5531,,
DB1-Cu2O8N2-AZO_A-irmof20_A_No321_repeat,original,4672,,
DB0-m3_o10_o23_f0_pcu.sym.107_repeat,original,1970,,
DB0-m3_o10_o18_f0_pcu.sym.29_repeat,original,1964,,
DB1-Zn2O8-AZO_A-irmof7_A_No516_repeat,original,4922,,
DB0-m9_o13_o27_f0_sra.sym.11_repeat,original,4179,,
DB1-Cu2O8N2-DPAC_A-irmof14_A_No538_repeat,original,4725,,
DB5-hypotheticalMOF_5047109_0_0_1_19_1_11_repeat,original,5661,,
DB1-Zn2O8-irmof10_A-irmof8_A_No366_repeat,original,4970,,
DB0-m29_o99_o500_f0_pts.sym.69_repeat,original,801,,
DB0-m29_o84_o143_f0_pts.sym.31_repeat,original,292,,
DB0-m3_o160_o1500_f0_fsc.sym.84_repeat,original,2741,,
DB1-Cu2O8N2-AZO_A-BDC_A_No384_repeat,original,4650,,
DB0-m3_o25_o110_f0_fsc_repeat,original,3254,,
DB7-ddmof_21818_repeat,original,6023,,
DB0-m29_o99_o52_f0_pts.sym.109_repeat,original,811,,
DB0-m3_o11_o29_f0_pcu.sym.110_repeat,original,2139,,
DB0-m18_o49_o148_f0_fsc_repeat,original,51,,
DB1-Zn2O8N2-irmof14_A-irmof20_A_No272_repeat,original,5087,,
DB0-m18_o17_o50_f0_fsc_repeat,original,39,,
DB1-Cu2O8N2-DPAC_A-irmof7_A_No672_repeat,original,4757,,
DB5-hypotheticalMOF_5073866_0_0_2_23_7_0_repeat,original,5748,,
DB0-m3_o12_o23_f0_pcu.sym.94_repeat,original,2235,,
DB0-m2_o11_o25_f0_pcu.sym.33_repeat,original,907,,
DB1-Zn2O8-ADC_A-AZO_A_No740_repeat,original,4848,,
DB0-m2_o12_o150_f0_pcu_repeat,original,955,,
DB0-m23_o1_o151_f0_pcu_repeat,original,72,,
DB0-m29_o81_o530_f0_pts.sym.10_repeat,original,180,,
DB0-m2_o8_o25_f0_pcu.sym.107_repeat,original,1872,,
DB0-m2_o19_o25_f0_pcu.sym.47_repeat,original,1215,,
DB0-m3_o11_o17_f0_nbo.sym.122_repeat,original,2043,,
DB0-m29_o96_o102_f0_pts.sym.95_repeat,original,655,,
DB12-PUDSOX_clean_repeat,original,5195,,
DB1-Zn2O8-irmof10_A-irmof20_A_No343_repeat,original,4944,,
DB1-Zn2O8-ADC_A-BDC_A_No1118_repeat,original,4850,,
DB5-hypotheticalMOF_5070423_0_0_2_3_16_0_repeat,original,5733,,
DB1-Zn2O8-irmof10_A-irmof6_A_No355_repeat,original,4954,,
DB0-m2_o16_o21_f0_pcu.sym.50_repeat,original,1130,,
DB0-m2_o5_o24_f0_nbo.sym.94_repeat,original,1665,,
DB1-Zn2O8N2-ADC_A-irmof14_A_No598_repeat,original,5010,,
DB1-Zn2O8-AZO_A-DPAC_A_No798_repeat,original,4899,,
DB1-Zn2O8-fum_A-irmof20_A_No77_repeat,original,4940,,
DB1-Cu2O8-irmof16_A-mofHTB_No51_repeat,original,4584,,
DB0-m2_o6_o25_f0_pcu.sym.107_repeat,original,1739,,
DB0-m3_o11_o23_f0_pcu.sym.149_repeat,original,2075,,
DB0-m3_o11_o25_f0_nbo.sym.12_repeat,original,2092,,
DB0-m2_o2_o15_f0_pcu.sym.7_repeat,original,1467,,
DB0-m3_o11_o13_f0_pcu.sym.32_repeat,original,2023,,
DB0-m3_o1500_o21_f0_fsc.sym.40_repeat,original,2534,,
DB1-Cu2O8N2-AZO_A-irmof8_A_No15_repeat,original,4681,,
DB0-m3_o450_o4_f0_fsc.sym.9_repeat,original,3560,,
DB0-m3_o1_o14_f0_pcu.sym.62_repeat,original,2993,,
DB0-m29_o90_o470_f0_pts.sym.46_repeat,original,517,,
DB0-m2_o17_o20_f0_pcu.sym.89_repeat,original,1155,,
DB0-m3_o156_o1510_f0_fsc.sym.15_repeat,original,2662,,
DB1-Cu2O8N2-ADC_A-irmof10_A_No45_repeat,original,4619,,
DB0-m2_o6_o15_f0_pcu.sym.38_repeat,original,1697,,
DB0-m2_o6_o17_f0_pcu.sym.5_repeat,original,1704,,
DB0-m3_o4_o25_f0_nbo.sym.5_repeat,original,3661,,
DB0-m9_o6_o13_f0_sra.sym.34_repeat,original,4314,,
DB0-m3_o25_o27_f0_pcu.sym.138_repeat,original,3282,,
DB0-m2_o20_o25_f0_nbo_repeat,original,1298,,
DB0-m3_o1_o9_f0_nbo.sym.112_repeat,original,3067,,
DB0-m3_o4_o25_f0_nbo.sym.102_repeat,original,3658,,
DB0-m29_o93_o86_f0_pts.sym.14_repeat,original,643,,
DB0-m2_o15_o28_f0_nbo.sym.21_repeat,original,1105,,
DB0-m3_o11_o28_f0_pcu.sym.31_repeat,original,2125,,
DB0-m3_o17_o24_f0_nbo.sym.118_repeat,original,2887,,
DB12-HAWZEM_freeONLY_repeat,original,5156,,
DB0-m9_o13_o23_f0_sra.sym.37_repeat,original,4171,,
DB0-m29_o99_o150_f0_pts.sym.136_repeat,original,776,,
DB0-m3_o11_o19_f0_pcu.sym.15_repeat,original,2054,,
DB12-AVAQIX01_clean_repeat,original,5135,,
DB1-Zn2O8-irmof8_A-mof505_No12_repeat,original,4995,,
DB5-hypotheticalMOF_5025994_0_0_0_27_3_8_repeat,original,5600,,
DB12-WEYQAU02_clean_repeat,original,5212,,
DB1-Cu2O8N2-irmof14_A-irmof6_A_No247_repeat,original,4806,,
DB0-m3_o146_o156_f0_fsc.sym.9_repeat,original,2374,,
DB0-m3_o11_o29_f0_pcu.sym.33_repeat,original,2159,,
DB1-Zn2O8N2-irmof14_A-irmof6_A_No138_repeat,original,5089,,
DB0-m29_o88_o42_f0_pts.sym.46_repeat,original,390,,
DB1-Zn2O8N2-irmof14_A-irmof8_A_No133_repeat,original,5092,,
DB1-Cu2O8-irmof10_A-TDPAT_No9_repeat,original,4534,,
DB0-m9_o18_o20_f0_sra.sym.2_repeat,original,4210,,
DB1-Cu2O8N2-DPAC_A-irmof20_A_No605_repeat,original,4743,,
DB1-Cu2O8N2-irmof20_A-irmof8_A_No84_repeat,original,4822,,
DB0-m2_o4_o4_f0_nbo.sym.65_repeat,original,1638,,
DB1-Cu2N8-BDC_B-irmof20_B_No487_repeat,original,4421,,
DB1-Cu2O8N2-irmof7_A-pmof1_A_No17_repeat,original,4824,,
DB5-hypotheticalMOF_29973_3_0_2_24_21_3_repeat,original,5496,,
DB0-m29_o90_o46_f0_pts.sym.45_repeat,original,514,,
DB0-m29_o99_o52_f0_pts.sym.120_repeat,original,812,,
DB15-pcu_N37_E72_opt_repeat,original,5372,,
DB0-m2_o9_o27_f0_nbo.sym.145_repeat,original,1924,,
DB1-Cu2O8N2-irmof10_A-irmof6_A_No316_repeat,original,4790,,
DB0-m3_o160_o530_f0_fsc.sym.60_repeat,original,2771,,
DB0-m3_o18_o1490_f0_fsc.sym.1_repeat,original,2920,,
DB0-m29_o99_o1510_f0_pts.sym.36_repeat,original,777,,
DB0-m3_o11_o29_f0_pcu.sym.65_repeat,original,2176,,
DB0-m3_o1490_o23_f0_fsc.sym.4_repeat,original,2453,,
DB1-Cu2O8-irmof10_A-irmof20_A_No345_repeat,original,4537,,
DB0-m9_o1_o19_f0_sra.sym.10_repeat,original,4238,,
DB5-hypotheticalMOF_13096_1_0_0_14_25_7_repeat,original,5415,,
DB1-Zn2O8-AZO_A-irmof6_A_No350_repeat,original,4913,,
DB0-m2_o14_o21_f0_pcu.sym.10_repeat,original,1039,,
DB0-m3_o51_o155_f0_fsc.sym.18_repeat,original,3706,,
DB0-m29_o90_o1490_f0_pts.sym.10_repeat,original,493,,
DB1-Zn2O8-irmof10_A-irmof8_A_No325_repeat,original,4966,,
DB5-hypotheticalMOF_5009006_3_1_0_15_15_3_repeat,original,5543,,
DB0-m29_o90_o500_f0_pts.sym.92_repeat,original,531,,
DB0-m29_o99_o51_f0_pts.sym.29_repeat,original,807,,
DB0-m3_o11_o23_f0_pcu.sym.150_repeat,original,2076,,
DB0-m29_o96_o100_f0_pts.sym.28_repeat,original,649,,
DB1-Cu2N8-AZO_B-irmof20_B_No204_repeat,original,4412,,
DB0-m3_o96_o155_f0_fsc.sym.1_repeat,original,4041,,
DB12-WASNIO_freeONLY_repeat,original,5210,,
DB0-m3_o12_o25_f0_pcu.sym.2_repeat,original,2240,,
DB0-m2_o11_o22_f0_pcu.sym.95_repeat,original,885,,
DB1-Cu2N8-ADC_B-DPAC_B_No482_repeat,original,4393,,
DB0-m3_o12_o29_f0_pcu.sym.15_repeat,original,2266,,
DB1-Zn2O8-ADC_A-irmof6_A_No513_repeat,original,4870,,
DB0-m2_o6_o11_f0_pcu.sym.16_repeat,original,1683,,
DB1-Cu2O8N2-DPAC_A-irmof7_A_No933_repeat,original,4766,,
DB1-Zn2O8-irmof10_A-irmof7_A_No476_repeat,original,4958,,
DB1-Cu2O8N2-irmof8_A-pmof1_A_No14_repeat,original,4826,,
DB0-m15_o22_o89_f0_fsc_repeat,original,13,,
DB0-m3_o150_o158_f0_fsc.sym.70_repeat,original,2539,,
DB0-m3_o156_o470_f0_fsc.sym.12_repeat,original,2669,,
DB0-m2_o9_o14_f0_nbo.sym.22_repeat,original,1895,,
DB0-m2_o11_o23_f0_pcu.sym.36_repeat,original,896,,
DB6-cuf_7896_repeat,original,5938,,
DB0-m3_o52_o14_f0_fsc.sym.39_repeat,original,3736,,
DB0-m3_o4_o20_f0_pcu.sym.36_repeat,original,3647,,
DB0-m3_o48_o17_f0_fsc.sym.19_repeat,original,3608,,
DB0-m29_o89_o54_f0_pts.sym.5_repeat,original,470,,
DB0-m29_o96_o106_f0_pts.sym.20_repeat,original,656,,
DB0-m29_o90_o53_f0_pts.sym.89_repeat,original,542,,
DB0-m2_o2_o7_f0_nbo.sym.12_repeat,original,1524,,
DB5-hypotheticalMOF_5077471_1_0_2_27_12_4_repeat,original,5764,,
DB0-m29_o82_o109_f0_pts.sym.74_repeat,original,194,,
DB1-Cu2O8-irmof8_A-mof177_No12_repeat,original,4599,,
DB12-NOMQAJ01_clean_repeat,original,5182,,
DB0-m3_o21_o22_f0_pcu.sym.79_repeat,original,3108,,
DB0-m2_o9_o27_f0_pcu.sym.3_repeat,original,1928,,
DB0-m3_o19_o28_f0_nbo.sym.48_repeat,original,2974,,
DB1-Zn2O8N2-AZO_A-irmof10_A_No343_repeat,original,5033,,
DB5-hypotheticalMOF_5079361_1_1_2_11_11_0_repeat,original,5770,,
DB12-UWOWAF_clean_repeat,original,5206,,
DB6-cuf_8021_repeat,original,5942,,
DB0-m3_o20_o25_f0_nbo.sym.138_repeat,original,3084,,
DB0-m29_o82_o45_f0_pts.sym.96_repeat,original,213,,
DB1-Cu2O8N2-DPAC_A-irmof14_A_No582_repeat,original,4730,,
DB5-hypotheticalMOF_5037261_3_0_1_18_11_4_repeat,original,5618,,
DB0-m3_o4_o4_f0_nbo.sym.95_repeat,original,3679,,
DB1-Cu2O8N2-DPAC_A-irmof20_A_No548_repeat,original,4741,,
DB0-m3_o12_o25_f0_pcu.sym.12_repeat,original,2239,,
DB5-hypotheticalMOF_31429_2_0_2_10_2_4_repeat,original,5497,,
DB0-m2_o6_o25_f0_nbo.sym.160_repeat,original,1737,,
DB0-m29_o90_o500_f0_pts.sym.4_repeat,original,529,,
DB0-m2_o7_o25_f0_pcu.sym.50_repeat,original,1807,,
DB13-lvt-Syn038394_repeat,original,5300,,
DB0-m3_o35_o35_f0_pts.sym.132_repeat,original,3411,,
DB12-LIJNOJ01_clean_repeat,original,5171,,
DB1-Zn2O8N2-ADC_A-irmof6_A_No156_repeat,original,5012,,
